0,SansAnimation,,,,,,,,,
0,SansHead,ClosedEyes,,,,,,,,
0,SansText,ready?,,,,,,,,
0,BlackScreen,1,,,,,,,,
0,Sound,Flash,,,,,,,,
0.06666,BlackScreen,0,,,,,,,,
0,Sound,Flash,,,,,,,,
0,CombatZoneResizeInstant,239,226,404,391,,,,,
0,HeartTeleport,320,304,,,,,,,
0,HeartMode,0,,,,,,,,
0,SansBody,HandDown,,,,,,,,
0,SansHead,BlueEye,,,,,,,,
0,Sound,GasterBlaster,0.6,,,,,,,
0.26666,SansSlam,1,,,,,,,,
0.5,SansHead,NoEyes,,,,,,,,
0,BoneStab,1,70,0.2,0.8,,,,,
0.2,SansBody,HandUp,,,,,,,,
0.2,SansSlam,3,,,,,,,,
0,BoneStab,2,65,0.2,0.4,,,,,
0,BoneStab,0,65,0.2,0.4,,,,,
0,BoneStab,3,40,0.4,0.2,,,,,
0.2,SansBody,HandDown,,,,,,,,
0.2,HeartMode,0,,,,,,,,
0,SansBody,HandRight,,,,,,,,
0,Sound,Ding,,,,,,,,
0,BoneStab,2,65,0.2,0.1,,,,,
0.05,BoneStab,1,65,0.15,0.1,,,,,
0.05,BoneStab,3,65,0.1,0.1,,,,,
0.05,BoneStab,0,65,0.05,0.1,246,0,0.333,0.26666,
0.05,Sound,GasterBlaster,1.4,,,,,,,
0.2,SineBones,60,-30,720,50,,,,,
2,SansAnimation,,,,,,,,,
0,GasterBlaster,1,320,0,189,246,0,0.1,0.1,0
0,GasterBlaster,1,320,0,259,166,90,0.1,0.1,0
0,GasterBlaster,1,320,0,449,366,180,0.1,0.1,0
0,GasterBlaster,1,320,0,379,446,270,0.1,0.1,0
0.6,GasterBlaster,1,320,0,189,176,45,0.1,0.1,0
0,GasterBlaster,1,320,0,449,176,135,0.1,0.1,0
0,GasterBlaster,1,320,0,449,436,225,0.1,0.1,0
0,GasterBlaster,1,320,0,189,436,315,0.1,0.1,0
0.6,GasterBlaster,1,320,0,189,246,0,0.1,0.1,0
0,GasterBlaster,1,320,0,259,166,90,0.1,0.1,0
0,GasterBlaster,1,320,0,449,366,180,0.1,0.1,0
0,GasterBlaster,1,320,0,379,446,270,0.1,0.1,0
0.6,GasterBlaster,1,320,0,139,306,0,0.1,0.1,0
0,GasterBlaster,1,320,0,499,306,180,0.1,0.1,0
0,GasterBlaster,1,320,0,320,166,90,0.1,0.1,0
0,GasterBlaster,1,320,0,320,446,270,0.1,0.1,0
0.6,GasterBlaster,1,320,0,189,246,0,0.1,0.1,0
0,GasterBlaster,1,320,0,259,166,90,0.1,0.1,0
0,GasterBlaster,1,320,0,449,366,180,0.1,0.1,0
0,GasterBlaster,1,320,0,379,446,270,0.1,0.1,0
0.4,GasterBlaster,0,320,0,259,166,90,0.1,0.2,0
0.1,GasterBlaster,0,320,0,283,166,90,0.1,0.1,0
0.1,GasterBlaster,0,320,0,307,166,90,0.1,0,0
0.4,GasterBlaster,0,320,0,379,166,90,0.1,0.2,0
0.1,GasterBlaster,0,320,0,355,166,90,0.1,0.1,0
0.1,GasterBlaster,0,320,0,331,166,90,0.1,0,0
0.4,GasterBlaster,0,320,0,259,166,90,0.1,2.4,0
0.1,GasterBlaster,0,320,0,283,166,90,0.1,2.3,0
0.1,GasterBlaster,0,320,0,307,166,90,0.1,1,0
0.1,GasterBlaster,0,320,0,331,166,90,0.1,0.9,0
0.1,GasterBlaster,1,320,0,355,166,90,1.3,0.9,0
