0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,Platform,640,346,51,2,150,,
0.1,BoneV,640,257,70,2,150,,
0.3,BoneVRepeat,508,356,40,2,120,58,15
0.4,Platform,640,296,51,2,150,,
0,BoneVRepeat,640,316,70,2,150,4,15
0.5,Platform,640,346,51,2,150,,
0.1,BoneV,640,257,70,2,150,,
0.4,Platform,640,296,31,2,60,,
0.6,Platform,640,326,51,2,150,,
0,BoneVRepeat,640,257,45,2,150,4,15
0.7,Platform,640,336,51,2,150,,
0,BoneVRepeat,640,257,55,2,150,4,15
0.7,Platform,640,316,51,2,150,,
0,BoneVRepeat,640,257,35,2,150,4,15
2.5,BoneV,133,257,128,0,100,,
0,BoneV,508,276,110,2,200,,
2,BoneVRepeat,133,356,35,0,600,70,15
1,EndAttack,,,,,,,
