0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SET,Loop,20,,,
0,JMPZ,39,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,6,,,,
0,JMPREL,8,,,,
0,JMPREL,10,,,,
0,SansBody,HandRight,,,,
0,SET,Dir2,2,,,
0,JMPREL,10,,,,
0,SansBody,HandDown,,,,
0,SET,Dir2,3,,,
0,JMPREL,7,,,,
0,SansBody,HandLeft,,,,
0,SET,Dir2,0,,,
0,JMPREL,4,,,,
0,SansBody,HandUp,,,,
0,SET,Dir2,1,,,
0,JMPREL,1,,,,
z,RND,Height,35,,,
0,SET,Time,$Height,,,
0,DIV,Time,$Time,160,,
0,ADD,Time,$Time,0.33,,
0,ADD,Height,$Height,35,,
0.26666,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,$Height,$Time,0,
0,SET,Height2,135,,,
0,SUB,Height2,$Height2,$Height,,
0,BoneStab,$Dir2,$Height2,$Time,0,
0,SUB,Time,$Time,0.06334,,
$Time,JMPABS,6,,,,
0,EndAttack,,,,,
